D:\AIWorkshop\simulator-windows-64\IMG\center_2025_03_26_12_27_08_314.jpg, D:\AIWorkshop\simulator-windows-64\IMG\left_2025_03_26_12_27_08_314.jpg, D:\AIWorkshop\simulator-windows-64\IMG\right_2025_03_26_12_27_08_314.jpg, 0, 0, 0, 7.795657E-05
D:\AIWorkshop\simulator-windows-64\IMG\center_2025_03_26_12_27_08_420.jpg, D:\AIWorkshop\simulator-windows-64\IMG\left_2025_03_26_12_27_08_420.jpg, D:\AIWorkshop\simulator-windows-64\IMG\right_2025_03_26_12_27_08_420.jpg, 0, 0, 0, 7.874274E-05
D:\AIWorkshop\simulator-windows-64\IMG\center_2025_03_26_12_27_08_522.jpg, D:\AIWorkshop\simulator-windows-64\IMG\left_2025_03_26_12_27_08_522.jpg, D:\AIWorkshop\simulator-windows-64\IMG\right_2025_03_26_12_27_08_522.jpg, 0, 0, 0, 7.782141E-05
D:\AIWorkshop\simulator-windows-64\IMG\center_2025_03_26_12_27_08_628.jpg, D:\AIWorkshop\simulator-windows-64\IMG\left_2025_03_26_12_27_08_628.jpg, D:\AIWorkshop\simulator-windows-64\IMG\right_2025_03_26_12_27_08_628.jpg, 0, 0, 0, 7.823461E-05
D:\AIWorkshop\simulator-windows-64\IMG\center_2025_03_26_12_27_08_733.jpg, D:\AIWorkshop\simulator-windows-64\IMG\left_2025_03_26_12_27_08_733.jpg, D:\AIWorkshop\simulator-windows-64\IMG\right_2025_03_26_12_27_08_733.jpg, 0, 0, 0, 7.808855E-05
D:\AIWorkshop\simulator-windows-64\IMG\center_2025_03_26_12_27_08_842.jpg, D:\AIWorkshop\simulator-windows-64\IMG\left_2025_03_26_12_27_08_842.jpg, D:\AIWorkshop\simulator-windows-64\IMG\right_2025_03_26_12_27_08_842.jpg, 0, 0, 0, 7.90526E-05
D:\AIWorkshop\simulator-windows-64\IMG\center_2025_03_26_12_27_08_946.jpg, D:\AIWorkshop\simulator-windows-64\IMG\left_2025_03_26_12_27_08_946.jpg, D:\AIWorkshop\simulator-windows-64\IMG\right_2025_03_26_12_27_08_946.jpg, 0, 0, 0, 7.912199E-05
D:\AIWorkshop\simulator-windows-64\IMG\center_2025_03_26_12_27_09_047.jpg, D:\AIWorkshop\simulator-windows-64\IMG\left_2025_03_26_12_27_09_047.jpg, D:\AIWorkshop\simulator-windows-64\IMG\right_2025_03_26_12_27_09_047.jpg, 0, 0, 0, 8.053108E-05
D:\AIWorkshop\simulator-windows-64\IMG\center_2025_03_26_12_27_09_155.jpg, D:\AIWorkshop\simulator-windows-64\IMG\left_2025_03_26_12_27_09_155.jpg, D:\AIWorkshop\simulator-windows-64\IMG\right_2025_03_26_12_27_09_155.jpg, 0, 0, 0, 7.785329E-05
D:\AIWorkshop\simulator-windows-64\IMG\center_2025_03_26_12_27_09_264.jpg, D:\AIWorkshop\simulator-windows-64\IMG\left_2025_03_26_12_27_09_264.jpg, D:\AIWorkshop\simulator-windows-64\IMG\right_2025_03_26_12_27_09_264.jpg, 0, 0, 0, 7.828095E-05
